Title,Author,Status,Category,Link,Summary
30 Lessons for Living,Karl Pillemer Ph.D.,Not started,Self-Help,https://www.amazon.com/30-Lessons-Living-Advice-Americans/dp/0452298482/ref=sr_1_1?crid=1R1NHB77SLZV&dib=eyJ2IjoiMSJ9.R1tUbCWJX2Ckd4yCzxGkYFS8kWX4E_U3YF_t3pBI3epBbRI2hpiv9E9FAym644KPq9WN8pF5VG1sSPw7SvDva6Xy9fEoBAtkAJQYkjYrw0ocFVAVFcMgAMs8j62cmyuRscxWBPMz7otYswMz9MxhvQ3aew8hp7u0RLpHVOf9iCPyLUuml4yVPhY0qDnI2AmgnrslpmqWxG-2p1C977nZxHIbqti4pviT2oZYuqcbT5o.0nbIzz0O0MF_9iuq0YY-4Ub3uUiX9Vuviyoz7fW4mdA&dib_tag=se&keywords=30+lessons+for+living&qid=1748391000&sprefix=30+lessonds+for+%2Caps%2C171&sr=8-1,
50 Economics Classics,Tom Butler-Bowdon,Not started,Economics,https://www.amazon.com/50-Economics-Classics-Tom-Butler-Bowdon/dp/139980099X/ref=sr_1_1?crid=1ZJAESVWRD9A2&dib=eyJ2IjoiMSJ9.yF5UTtGnKf2rMA2LeQZ5mvnFKkLw4jaFA12Uqh8fFQbPBiLbTi4H5Xp_kQCJP5C-K4u8HlAbjKt-oYGvVGXlO1b1buSDBPIy0shGKzbSwZy0OwNER1bdaRDOcqi6DLkhBZ8ygP8pABCWUD8qILnMDS5h9Uc-4008wWfJda0QjuYshBWh4w0kW-PbB7BN3aKRuOYLKggII3BxkEwOyiWT6muvUR2I5ufnHMBp-_7Z0I0.ythztnO_m1MGCzLnPXe4TozhtCRy_ZBr9qgQI9f9sqA&dib_tag=se&keywords=50+economics+classics&qid=1748368253&s=books&sprefix=50+econom%2Cstripbooks%2C110&sr=1-1,
90s Bitch,Allison Yarrow,Not started,Culture,https://www.amazon.com/90s-Bitch-Culture-Promise-Equality/dp/0062412345/ref=sr_1_1?crid=36Y0R52JIRUSB&dib=eyJ2IjoiMSJ9.IrL9EF4v_qTY59AQ75_EvxWmzBzLAaKcM2886BWAx1zI1yl5qqiBYZl75YAQIWm-LHuivjk1N8rG7xJ7NX5slHWGTyc9yQNu9e560Qfx-BnAtC336H7qILv7463Jzy-W5F6pUfmJ40AWdbNiYc-wj48d5ekvtTAOxkzNESZXhoHmooXoLtjQzcT6FcAjNT4Fh0NeGbZsv8Dj5y-6RtwQFfNks1nlpaz_TTbL-8L2Qgc.ez0fi3rPYNVFRTtp937iIxiXlhjTjI_QQ9t0HE7PELY&dib_tag=se&keywords=90s+bitch&qid=1747619338&s=books&sprefix=90s+bitch%2Cstripbooks%2C100&sr=1-1,"Media, Culture, and the Failed Promise of Gender Equality"
A Banker's Journey,Daniel Gross,Not started,Biography,https://www.amazon.com/Bankers-Journey-Edmond-Global-Financial/dp/1635767857/ref=tmm_hrd_swatch_0?_encoding=UTF8&dib_tag=se&dib=eyJ2IjoiMSJ9.J0C1vuwT8sWaU10qEi2u5aqutlh9nwkkOrX41TkaECyn-bz0-UfvkfF53YcoofMFb5V46bRTpgkBydLWGfYpxIiuFd5Ych3K0DIRlc3VhoRczpbi1l1gbq-CuiEkbuCyXx32iTwFl5RwVv9BbwstVtpSDqfhoBDhdCMBi4bXTmVxewITXDfuCkG3YzvFkHomiTPVs1KCdNPBYruM8yfIPYrEegiIAU4sUw5dwvbDKI4.UAMuFwh2fjfy6PqimalzR443gWxknh10lrruCmliOjk&qid=1748550696&sr=8-1,
A Colossal Failure of Common Sense,Lawrence G. McDonald,Not started,Finance,https://www.amazon.com/Colossal-Failure-Common-Sense-Collapse/dp/0307588335/ref=tmm_hrd_swatch_0,The Inside Story of the Collapse of Lehman Brothers 
A Comprehensive Guide to ETFs,Joanne M. Hill,Not started,Non-fiction,https://www.amazon.com/Comprehensive-Guide-Exchange-Traded-Funds-ETFs/dp/1934667854,
A Demon of Our Own Design,Richard Bookstaber,Not started,Economics,https://www.amazon.com/Demon-Our-Own-Design-Innovation/dp/0471227277/ref=tmm_hrd_swatch_0?_encoding=UTF8&dib_tag=se&dib=eyJ2IjoiMSJ9.IX45SHXbglxVTuiX8mLqJerPu_dlcD82oolKmpspgDW5n3vpKAY82aOadHU5GEzqHZoisMnXj1gzphUXa0KCuKI9IbpKEebynuo8OVT95dAlbLP4993k5kgLclhweewk.YprPLccE7zYBxgosiU_lm6__kg1rbsDj_aedUitex6Q&qid=1748455764&sr=8-1,
A higher kind of loyalty,Liu Binyan,Completed,Biography,https://www.amazon.com/gp/product/0394574710/ref=ox_sc_act_title_3?smid=A30IFCZW4WOSSH&psc=1,
A History of Nazi Germany,William L. Shirer,Not started,Non-fiction,https://www.amazon.com/Rise-Fall-Third-Reich-History/dp/1451642598,The Rise and Fall of the Third Reich
A Little Life ,Hanya Yanagihara,Not started,Fiction,https://www.amazon.com/Little-Life-Hanya-Yanagihara/dp/0804172706/ref=sr_1_1?crid=7NQNLXMACR5V&dib=eyJ2IjoiMSJ9.Ys_R3DmLQAlcPaCc6HX_huMZsApRr7Mlswcm3BUw42chk51vMhOJLtmMF73dcTMGnNaQvcbGXCZTyUtrcBKKy5ZVcuLnqM9Z-ICaRVoXbv93ScZrzyQynRul8iaHS4_tpGaF_gLDe9bk7m2cLthH99MSzZf7AQACQXeCDWUy-VGrY3vSNol7ThlWLmnOUsf9oJj316DmOLzi9VOT7V1Uw7uBm_ACDyj_ehi1UdQrpEU.8AeJrrYCZCSPe_L61Om-yCceMPdWHM80ZRZD2bouG_E&dib_tag=se&keywords=a+little+life+by+hanya+yanagihara&qid=1748109854&s=books&sprefix=A+little+life%2Cstripbooks%2C125&sr=1-1,
A Mind at Play,Jimmy Soni,Not started,Biography,https://www.amazon.com/gp/product/147676669X,How Claude Shannon Invented the Information Age
A Mind of Your Own,Kelly Brogan M.D.,Not started,Health/Wellness,https://www.amazon.com/Mind-Your-Own-Depression-Reclaim/dp/0062405578/ref=tmm_hrd_swatch_0?_encoding=UTF8&dib_tag=se&dib=eyJ2IjoiMSJ9.LCotm1YyyVfuvdKxa0Ra57SEOdhVSQ-yji9ccWLX9HL1_BvK9ml4GS786LZ-1q7F4zAX2cXTAlf53I9RCv1wVi8sjfiIgIDrY-4Q3DrBxGHeuSOw-lcv15y6GmKdjUHPwoc8ZS_6KqC2oyZmgnDeteKClDgMJ8XkiVCPY4Ue_ubfJSLfDwDLP7TPzc2RVLSIvjQ_vTlegIKMUzzT9HnQYn8YQIzvVEQLTBlocaLcBXo.Zf-f0_i0XABn8KGA6O_CCNwI-9CED0EkTXWrudw5Ybc&qid=1747411008&sr=8-1,The Truth About Depression and How Women Can Heal Their Bodies to Reclaim Their Lives
